UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Jul 2026 13:13:00.000000000,-903.1113085375372,-4082.62086841414,-5461.1697997891815,7.539597437688244,-0.8136311885214412,-0.6407944122426112,0.0010984306782798724,0.004986684922980007,0.0066889001056985664,-52.7659506472949,126.40105937641736,513.444304064942,6874.000515443774,0.0006351413094264704,52.980497383337145,357.4941788768799,105.36175963355089,158.59804732664006
15 Jul 2026 13:14:00.000000000,-449.08353219995615,-4122.431300680109,-5487.554632890012,7.5891602451805475,-0.5129052450830541,-0.2383857043133257,0.00054383887742537,0.0050346646772933224,0.0067203533105356286,-53.11113709426439,132.41288142000008,513.684286895849,6873.889244812845,0.0006822888090280036,52.980130340382225,357.4878210903191,111.53772340000955,156.22959595797533
15 Jul 2026 13:15:00.000000000,6.91804965578569,-4144.124695317014,-5489.75559825671,7.605368036272181,-0.2099480966898648,0.165042793203564,-1.3042495781590872e-05,0.005060666884799009,0.006722392551378477,-53.12368881940338,138.47644769888842,513.8241627324561,6873.885515232659,0.0007185355989455533,52.98010103660936,357.4814317930228,117.78231754040499,153.79237823535135
15 Jul 2026 13:16:00.000000000,462.88942965639086,-4147.606815907365,-5467.764469900659,7.588154104816184,0.09391801255041936,0.5677255927874709,-0.0005698173582844525,0.005064585065633192,0.00669501623133402,-52.80330544975893,144.49498204162032,513.8632773202299,6873.989370915332,0.0007438476624066374,52.98040980234522,357.4750672810917,124.15080085476272,151.23110998740057
15 Jul 2026 13:17:00.000000000,916.8269109322893,-4132.86289871767,-5421.678881562192,7.537595525221834,0.3973671086537268,0.9679006656094835,-0.0011240904958455698,0.005046402907823272,0.006638343210028083,-52.1585524038492,150.37649288968683,513.8027460280142,6874.19896940176,0.0007584328121688724,52.98105100998977,357.4687834022082,130.6942191098462,148.49472092800846
15 Jul 2026 13:18:00.000000000,1366.7357270488533,-4099.957714160983,-5351.701902794184,7.453912856914594,0.6990749027976509,1.3638166612166176,-0.0016734758202981363,0.005006194415229864,0.006552612514347424,-51.2057827729324,156.0428556590376,513.6454269647885,6874.51061432807,0.0007627432220465994,52.98201317513445,357.46263457161314,137.4645220251476,145.53123809180642
15 Jul 2026 13:19:00.000000000,1810.6386294129225,-4049.0353031834607,-5258.141182600822,7.337469351786908,0.9977242115974239,1.753740104830749,-0.0022156046891001397,0.004944123930216803,0.006438182875672226,-49.96724228969597,161.43565755690796,513.3958646676281,6874.918820219266,0.0007574771687110629,52.983279160828005,357.4566728138267,144.51809536997803,142.28425414475538
15 Jul 2026 13:20:00.000000000,2246.584412218423,-3980.318388488451,-5141.407662264393,7.188769659399647,1.2920103746835978,2.1359625612073416,-0.0027481343369969396,0.00486044601528977,0.006295532069564221,-48.46883039328742,166.51807362405066,513.0602052299075,6875.416408219801,0.0007435799868661372,52.98482648131398,357.4509468469395,151.91844138507855,138.69024734923707
15 Jul 2026 13:21:00.000000000,2672.6563445889883,-3894.1074610207775,-5002.01385969941,7.008458021945737,1.580646660407722,2.508807752167464,-0.003268756460784354,0.004755505167841665,0.006125256020881957,-46.737969670957,171.27335232693036,512.6460841643392,6875.994631164656,0.0007222441777956475,52.9866276998166,357.4455012256047,159.73813398328545,134.67662672228874
15 Jul 2026 13:22:00.000000000,3086.9804790098274,-3790.779542737737,-4840.571728515023,6.797315948850594,1.8623696487120507,2.8706386124088414,-0.0037752059867247516,0.004629735334625878,0.005928067627947397,-44.80188224129118,175.70120806914957,512.162488714371,6876.643325909775,0.0006949078929000835,52.988650913303054,357.44037555773946,168.05965714929752,130.1608939605527
15 Jul 2026 13:23:00.000000000,3487.7338044825933,-3670.786627413869,-4657.790095979713,6.556259359533569,2.135944577979073,3.2198642651427,-0.004265270035684143,0.004483659185563244,0.0057047952509162465,-42.686387082564615,179.813459582277,511.6195967366072,6877.351090382096,0.0006632491817358412,52.990860315627046,357.4356038086951,176.97409014039903,125.05195852429325
15 Jul 2026 13:24:00.000000000,3873.1522121144044,-3534.6538020961416,-4454.47168529747,6.286335182443814,2.4001706400921305,3.5549468956370602,-0.0047367970836435435,0.004317887100995453,0.005456380803250479,-40.41519150243765,-176.3701151005687,511.02859467241797,6878.105482386111,0.0006291696775506526,52.993216829092056,357.43121370505276,186.57574279994873,119.25550256354043
15 Jul 2026 13:25:00.000000000,4241.53824014371,-3382.9770528551285,-4231.509729039796,5.988717399116601,2.6538862051397647,3.8744084970460775,-0.005187706298484925,0.004133115825424837,0.005183877384826824,-38.00957647856176,-172.8251970141501,510.40147750189976,6878.8932368198775,0.0005947550147289742,52.995678793278906,357.4272262484733,196.94995516938067,112.68618149623475
15 Jul 2026 13:26:00.000000000,4591.268564770531,-3216.4207596802707,-3989.8841822397653,5.664702523735555,2.8959739543004237,4.176837459155623,-0.005615997014034623,0.003930126738931554,0.004888446394053674,-35.488357408746694,-169.52547064100793,509.75083392218335,6879.700497618602,0.0005621907294770469,52.99820269899059,357.42365534805634,208.1512295779787,105.289492055589
15 Jul 2026 13:27:00.000000000,4920.801202663902,-3035.7148867413825,-3730.657545541331,5.31570451154946,3.125365896599556,4.460894967059614,-0.006019758284625471,0.0037097837003670134,0.0045713540614038504,-32.86801536969905,-166.44436037722534,509.08962030522844,6880.513060462157,0.000533606579789373,53.00074395438675,357.4205075775977,220.17165694356618,97.07334607088649
15 Jul 2026 13:28:00.000000000,5228.682390735247,-2841.6518757785443,-3454.9703108913227,4.943249093445959,3.3410482425762744,4.725321173494257,-0.006397178444745145,0.0034730304200236007,0.004233967352746049,-30.162919434924614,-163.5561154436161,508.4309272596472,6881.316622064165,0.0005108321252907139,53.003257669828365,357.41778206193123,232.9075260713851,88.1414611927564
15 Jul 2026 13:29:00.000000000,5513.553108751486,-2635.0832520739864,-3164.0360445390197,4.54896753895191,3.542066105567338,4.968941105771218,-0.006746554584049987,0.00322088732720436,0.0038777492021779,-27.38558617882053,-160.8364139780939,507.78774283597585,6882.097031706564,0.0004950888249784601,53.005699447639,357.41547049427,246.14329666390697,78.70938784946367
15 Jul 2026 13:30:00.000000000,5774.155210678663,-2416.9159542774573,-2859.1361245289177,4.134589855785998,3.727527999444154,5.190670266132224,-0.0070663018325636115,0.002954447905387728,0.0035042530447125103,-24.546943194424543,-158.26263511362933,507.17271656675473,6882.840540605654,0.0004867139401484305,53.008026162914156,357.4135572841456,259.57525773294265,69.08085074313041
15 Jul 2026 13:31:00.000000000,6009.337131339094,-2188.1084012662877,-2541.6141523957804,3.7019374406725394,3.8966101003353946,5.389519883029655,-0.007354962341790075,0.00267487447887964,0.0031151166346924846,-21.656578283084567,-155.8139144264751,506.59792861070184,6883.534044691861,0.0004850528200992819,53.010196721680515,357.4120198333065,272.8780182763556,59.581258024829964
15 Jul 2026 13:32:00.000000000,6218.059136070139,-1949.666311196462,-2212.8700613396386,3.2529152032432207,4.048560239219226,5.564601770435903,-0.007611213839553429,0.002383393446182844,0.002712055151459719,-18.72296573210769,-153.47106574533095,506.0746682680291,6884.165316464337,0.0004885981637811771,53.012172783113705,357.41082893464517,285.784245565011,50.47796280514201
15 Jul 2026 13:33:00.000000000,6399.398082616141,-1702.6382898901481,-1874.3539457180245,2.7895031922835045,4.182701592353123,5.715132752871326,-0.007833877633653119,0.002081289967903245,0.0022968536105820916,-15.753667078695777,-151.21642575116186,505.61322604336857,6884.723221740947,0.0004953204787454883,53.01391943316375,357.40994928708307,298.13657058498484,41.92835745828805
